N map/map-fun map/my-map-fun map/map-named map/list-comprehension-named map/list-comprehension map/my-map-named map/list-comprehension-fun map/recursive 
100 0.0023651123 0.0024108886 0.0022811890 0.0026016235 0.0018539429 0.0030059815 0.0026779175 0.0029983521 
500 0.0026779174 0.0026092529 0.0030136108 0.0021972656 0.0021667481 0.0028686524 0.0031280517 0.0030212403 
1000 0.0028457641 0.0031433105 0.0026779175 0.0029754638 0.0024414062 0.0030746460 0.0037536621 0.0036544800 
5000 0.0053100586 0.0052719116 0.0044631958 0.0048904419 0.0041351318 0.0065536499 0.0118026734 0.0040893555 
10000 0.0075225830 0.0072860718 0.0075225830 0.0058288574 0.0056686401 0.0074539185 0.0148086548 0.0045776367 
50000 0.0213088990 0.0202484130 0.0216903687 0.0171127320 0.0154800415 0.0215911865 0.0747222900 0.0165863038 
100000 0.0387649536 0.0404434204 0.0436935425 0.0295333863 0.0271377564 0.0371475220 0.0888595581 0.0294799804 
500000 0.2868804931 0.2900238037 0.2823104858 0.1891937255 0.2299041748 0.2895050048 0.4421997070 0.2302627564 
1000000 0.5868148803 0.5451812744 0.5780181885 0.4392395020 0.4689636230 0.5662307739 1.0342330933 0.4815292359 
5000000 3.6695480346 3.4693374634 3.5199584961 3.1547164917 2.8615875244 3.3662261963 6.5128326416 2.9213256836 
10000000 6.0384674072 5.8831710816 6.0135345459 5.0982131958 4.8658828735 6.0096359253 12.4597091675 5.3037109375 
