N filter-map/list-comprehension filter-map/filtermap filter-map/my-filter-map filter-map/recursive filter-map/filter-map-comp 
10000 0E-20 0E-20 0E-20 0E-20 0E-20 
50000 0.0160000000000000003331 0.0309999999999999997780 0.0160000000000000003331 0E-20 0.0309999999999999997780 
100000 0.0149999999999999994449 0.0619999999999999995559 0.0470000000000000001110 0.0149999999999999994449 0.0630000000000000004441 
500000 0.125000000000000000000 0.313000000000000000444 0.281000000000000027534 0.125000000000000000000 0.343000000000000027089 
1000000 0.234000000000000013545 0.609999999999999986677 0.532000000000000028422 0.250000000000000000000 0.718999999999999972466 
2000000 0.500000000000000000000 1.25000000000000000000 1.09400000000000008349 0.500000000000000000000 1.50000000000000000000 
3000000 0.937999999999999944933 1.86000000000000009770 1.84299999999999997158 0.907000000000000028422 2.42200000000000015277 
4000000 1.03099999999999991651 2.73499999999999987566 2.18699999999999983302 1.00000000000000000000 2.78100000000000013856 
5000000 1.25000000000000000000 3.04700000000000015277 2.70299999999999984723 1.26600000000000001421 3.42200000000000015277 
6000000 1.51499999999999990230 4.01499999999999968026 3.23499999999999987566 1.48399999999999998579 4.01600000000000001421 
7000000 1.70300000000000006928 4.12500000000000000000 3.68699999999999983302 1.70300000000000006928 4.95300000000000029132 
8000000 1.98399999999999998579 5.31200000000000027711 4.26499999999999968026 2.01600000000000001421 5.46799999999999997158 
9000000 2.23499999999999987566 6.26499999999999968026 4.79699999999999970868 2.20299999999999984723 6.32800000000000029132 
10000000 2.48499999999999987566 5.92199999999999970868 5.34400000000000030553 2.51600000000000001421 6.76600000000000001421 
